,neighbourhood,area,rooms,bathrooms,rent
0,Jardim Bethania,60,2,2,1700
1,Jardim Alvorada,60,2,1,880
2,Jardim Alvorada,64,2,2,2500
3,Jardim Santa Paula,66,2,2,1223
4,Parque Arnold Schimidt,48,2,1,1100
5,Parque Santa Mônica,82,1,1,1400
6,Jardim Brasil,49,2,2,1000
7,Vila Irene,42,2,1,600
8,,64,3,2,1400
9,Centro,44,1,1,1400
10,Jardim Lutfalla,56,2,1,1555
11,,98,2,2,1667
12,Gleba I,111,4,3,3300
13,Centro,35,1,2,1112
14,Jardim Bethania,115,3,1,2440
15,Jardim Gibertoni,150,3,3,3700
16,,146,3,4,2500
17,Parque Sabará,63,2,2,1760
18,Centro,60,2,3,1554
19,Jardim Centenário,48,2,1,1400
20,Parque Santa Felícia Jardim,80,3,1,1667
21,,100,3,2,2000
22,Centro,56,2,1,1900
23,,80,2,2,1500
24,Parque Arnold Schimidt,41,1,1,1112
25,Jardim Nova Santa Paula,57,2,1,750
26,Jardim Gibertoni,130,3,3,1000
27,Centro,60,2,1,1900
28,Parque Sabará,67,2,2,1900
29,Jardim Gibertoni,70,2,1,1334
30,Parque Santa Mônica,81,3,1,1300
31,Jardim Nova São Carlos,42,2,1,640
32,Parque Arnold Schimidt,63,2,2,1500
33,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
34,,102,3,2,3111
35,Parque Fehr,43,2,1,1334
36,Jardim Bethania,60,2,2,1700
37,Jardim Alvorada,60,2,1,880
38,Jardim Alvorada,64,2,2,2500
39,Jardim Santa Paula,66,2,2,1223
40,Parque Arnold Schimidt,48,2,1,1100
41,Parque Santa Mônica,82,1,1,1400
42,Jardim Brasil,49,2,2,1000
43,Vila Irene,42,2,1,600
44,,64,3,2,1400
45,Centro,44,1,1,1400
46,Jardim Lutfalla,56,2,1,1555
47,,98,2,2,1667
48,Gleba I,111,4,3,3300
49,Centro,35,1,2,1112
50,Jardim Bethania,115,3,1,2440
51,Jardim Gibertoni,150,3,3,3700
52,,146,3,4,2500
53,Parque Sabará,63,2,2,1760
54,Centro,60,2,3,1554
55,Jardim Centenário,48,2,1,1400
56,Parque Santa Felícia Jardim,80,3,1,1667
57,,100,3,2,2000
58,Centro,56,2,1,1900
59,,80,2,2,1500
60,Parque Arnold Schimidt,41,1,1,1112
61,Jardim Nova Santa Paula,57,2,1,750
62,Jardim Gibertoni,130,3,3,1000
63,Centro,60,2,1,1900
64,Parque Sabará,67,2,2,1900
65,Jardim Gibertoni,70,2,1,1334
66,Parque Santa Mônica,81,3,1,1300
67,Jardim Nova São Carlos,42,2,1,640
68,Parque Arnold Schimidt,63,2,2,1500
69,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
70,,102,3,2,3111
71,Parque Fehr,43,2,1,1334
72,Jardim Bethania,60,2,2,1700
73,Jardim Alvorada,60,2,1,880
74,Jardim Alvorada,64,2,2,2500
75,Jardim Santa Paula,66,2,2,1223
76,Parque Arnold Schimidt,48,2,1,1100
77,Parque Santa Mônica,82,1,1,1400
78,Jardim Brasil,49,2,2,1000
79,Vila Irene,42,2,1,600
80,,64,3,2,1400
81,Centro,44,1,1,1400
82,Jardim Lutfalla,56,2,1,1555
83,,98,2,2,1667
84,Gleba I,111,4,3,3300
85,Centro,35,1,2,1112
86,Jardim Bethania,115,3,1,2440
87,Jardim Gibertoni,150,3,3,3700
88,,146,3,4,2500
89,Parque Sabará,63,2,2,1760
90,Centro,60,2,3,1554
91,Jardim Centenário,48,2,1,1400
92,Parque Santa Felícia Jardim,80,3,1,1667
93,,100,3,2,2000
94,Centro,56,2,1,1900
95,,80,2,2,1500
96,Parque Arnold Schimidt,41,1,1,1112
97,Jardim Nova Santa Paula,57,2,1,750
98,Jardim Gibertoni,130,3,3,1000
99,Centro,60,2,1,1900
100,Parque Sabará,67,2,2,1900
101,Jardim Gibertoni,70,2,1,1334
102,Parque Santa Mônica,81,3,1,1300
103,Jardim Nova São Carlos,42,2,1,640
